model,station,split,latitude,longitude,n_hours,bs_model,bs_clim,bss_overall
RandomForest,NZY,Test,32.6922,-117.2098,8514,0.0865216049848334,0.0829596483846709,-0.042936013706883
RandomForest,SIY,Test,41.7737,-122.4682,8671,0.039687961107901,0.0318812366107126,-0.244868936312379
RandomForest,SUU,Test,38.2627,-121.9275,8686,0.0490716317920598,0.0522410966512225,0.0606699526298808
RandomForest,SAN,Test,32.7339,-117.1845,8772,0.0676039704145644,0.0642154239710953,-0.0527684197023177
RandomForest,TVL,Test,38.8939,-119.9953,8742,0.0593137953851729,0.0602074577951401,0.0148430517197379
RandomForest,SCK,Test,37.8942,-121.2383,8769,0.0583097032207546,0.0580032637693405,-0.00528314152515086
RandomForest,SLI,Test,33.79,-118.052,8640,0.0990635478828774,0.124685480207927,0.205492510293277
RandomForest,BLU,Test,39.275,-120.7097,8604,0.0870878144000542,0.118312026497519,0.263914100889142
RandomForest,NXP,Test,34.2962,-116.1622,8474,0.00249312339716591,0.00214707806810483,-0.161170352490501
RandomForest,RIV,Test,33.9,-117.25,8727,0.0471048198602492,0.0524368774368859,0.101685261160994
RandomForest,SMX,Test,34.9,-120.45,8751,0.149611335000016,0.135384402553577,-0.105085461678704
RandomForest,FAT,Test,36.78,-119.7194,8768,0.052098979948097,0.049904643578495,-0.0439705849446759
RandomForest,SDM,Test,32.57,-116.98,8760,0.129428177737924,0.133072924666214,0.0273890946443958
